Reporting Period:,Lifetime
Report Type:,Account Performance
Grouped By:,6sense Accounts
Time of Report:,Sun Mar 05 2023 14:45:04 GMT+0800


6sense Company Name,6sense Country,6sense Domain,Impressions,Clicks,Spend,Website Engagement,Latest Impression,Influenced Form Fills
"New York Board Of Education","United States","schools.nyc.gov","41,288","21","$269.71",-,2023-03-04,"0"
"Virginia Tech","United States","vt.edu","36,859","15","$240.78",Increased,2023-03-04,"0"
"Auburn University","United States","auburn.edu","24,992","12","$163.25",-,2023-03-04,"0"
"University Of Oklahoma","United States","ou.edu","23,669","12","$154.61",-,2023-03-04,"0"
"Georgia State University","United States","gsu.edu","12,814","7","$83.70",-,2023-03-04,"0"
"State Of Colorado","United States","state.co.us","7,254","1","$47.38",Increased,2023-03-04,"0"
"Texas State University","United States","txstate.edu","7,129","2","$46.57",Increased,2023-03-04,"0"
"West Virginia University","United States","mix.wvu.edu","6,923","3","$45.22",-,2023-03-04,"0"
"University Of Dayton","United States","udayton.edu","6,497","4","$42.44",-,2023-03-04,"0"
"Moog, Inc.","United States","moog.com","6,430","4","$42.00",-,2023-03-04,"0"
"Province Of Nova Scotia","Canada","novascotia.ca","6,397","0","$41.78",-,2023-03-02,"0"
"Gannett Co., Inc.","United States","gannett.com","6,313","3","$41.23",Increased,2023-03-04,"0"
"New York University","United States","stern.nyu.edu","6,141","1","$40.11",Increased,2023-03-04,"0"
"Wayfair, Inc.","United States","wayfair.com","5,516","4","$36.03",Increased,2023-03-04,"0"
"Brigham Young University","United States","byu.edu","4,941","2","$32.27",-,2023-02-19,"0"
"CBRE Group, Inc.","United States","cbre.com","4,477","7","$29.24",Increased,2023-03-04,"0"
"Anthem","United States","anthem.com","4,208","0","$27.48",Increased,2023-03-04,"0"
"Nokia Corporation","United States","nokia.com","4,091","1","$26.72",-,2023-02-24,"0"
"United Parcel Service, Inc.","United States","ups.com","3,747","3","$24.47",-,2023-03-04,"0"
"SAP AG","United States","sap.com","3,095","0","$20.21",Increased,2023-03-04,"0"
"Harris County","United States","harriscountytx.gov","2,969","0","$19.39",-,2023-03-02,"0"
"General Motors Company","United States","gm.com","2,774","4","$18.12",Increased,2023-03-04,"0"
"NetApp, Inc.","United States","netapp.com","2,749","0","$17.95",Increased,2023-03-04,"0"
"Delta Air Lines","United States","delta.com","2,559","0","$16.71",-,2023-03-04,"0"
"Sun Life Financial","Canada","sunlife.com","2,380","1","$15.54",Increased,2023-03-04,"0"
"State Of Connecticut","United States","portal.ct.gov","2,363","0","$15.43",-,2023-03-04,"0"
"Prince George's County","United States","princegeorgescountymd.gov","2,229","1","$14.56",-,2023-03-04,"0"
"SAS Institute","United States","sas.com","2,176","1","$14.21",Increased,2023-03-04,"0"
"Liberty University","United States","liberty.edu","1,954","2","$12.76",-,2023-02-17,"0"
"Chesterfield County","United States","chesterfield.gov","1,916","0","$12.51",-,2023-03-04,"0"
"State Of Texas","United States","texas.gov","1,790","0","$11.69",-,2023-03-04,"0"
"VMware, Inc.","United States","vmware.com","1,779","1","$11.62",Increased,2023-03-04,"0"
"DaVita, Inc.","United States","davita.com","1,558","0","$10.17",-,2023-03-04,"0"
"Medtronic Plc","United States","medtronic.com","1,440","0","$9.40",-,2023-03-04,"0"
"Howmet Aerospace Inc.","United States","howmet.com","1,246","0","$8.13",-,2023-03-04,"0"
"Hartford Financial Services","United States","thehartford.com","1,105","2","$7.21",-,2023-03-04,"0"
"ServiceNow, Inc.","United States","servicenow.com","1,079","0","$7.04",-,2023-03-04,"0"
"Chevron Phillips Chemical Company","United States","cpchem.com","1,074","0","$7.01",-,2023-02-28,"0"
"Progressive Corporation","United States","progressive.com","1,036","0","$6.76",Increased,2023-03-04,"0"
"Massachusetts Mutual Life Insurance","United States","massmutual.com","1,020","3","$6.66",Increased,2023-03-04,"0"
"Splunk, Inc.","United States","splunk.com","1,012","2","$6.61",Increased,2023-03-04,"0"
"Autodesk, Inc.","United States","autodesk.com","925","1","$6.04",Increased,2023-03-04,"0"
"Simmons College","United States","simmons.edu","923","0","$6.02",-,2023-03-04,"0"
"Stony Brook Medicine","United States","stonybrookmedicine.edu","906","1","$5.91",-,2023-03-04,"0"
"Eastman Chemical Company","United States","eastman.com","823","1","$5.37",New,2023-03-04,"0"
"Ameriprise Financial, Inc.","United States","ameriprise.com","784","0","$5.12",-,2023-03-04,"0"
"Toronto-Dominion Bank (TD Bank)","Canada","td.com","781","0","$5.10",Increased,2023-03-04,"0"
"California Department Of General Services","United States","dgs.ca.gov","771","0","$5.03",-,2023-03-04,"0"
"Brandeis University","United States","brandeis.edu","696","1","$4.54",-,2023-03-03,"0"
"Kroger Company","United States","kroger.com","675","1","$4.40",Increased,2023-03-04,"0"
"Bloomberg LP","United States","bloomberg.com","625","0","$4.08",-,2023-03-04,"0"
"Insulet Corporation","United States","insulet.com","585","0","$3.82",-,2023-03-04,"0"
"CSG Systems International, Inc.","United States","csgi.com","574","0","$3.74",-,2023-03-02,"0"
"Sun Life Financial","United States","sunlife.com","570","0","$3.72",Increased,2023-03-04,"0"
"Children's Hospital Of Pittsburgh","United States","chp.edu","532","0","$3.47",Increased,2023-03-04,"0"
"DocuSign, Inc.","United States","docusign.com","529","0","$3.45",Increased,2023-03-04,"0"
"Citrix Systems, Inc.","United States","citrix.com","490","1","$3.20",-,2023-03-04,"0"
"Aerojet Rocketdyne","United States","rocket.com","435","0","$2.84",-,2023-03-04,"0"
"Consumer Reports","United States","consumerreports.org","384","1","$2.50",Increased,2023-03-04,"0"
"Tyson Foods, Inc.","United States","tyson.com","370","0","$2.41",-,2023-02-20,"0"
"Costco Wholesale Corporation","United States","costco.com","368","0","$2.40",-,2023-03-02,"0"
"John Wiley & Sons, Inc.","United States","wiley.com","358","1","$2.33",Increased,2023-03-04,"0"
"Fairbanks Memorial Hospital","United States","foundationhealth.org","350","0","$2.28",Increased,2023-03-04,"0"
"CommonSpirit Health","United States","commonspirit.org","348","1","$2.27",-,2023-03-04,"0"
"Air Products & Chemicals, Inc.","United States","airproducts.com","341","0","$2.22",Increased,2023-02-24,"0"
"Lazard Ltd","United States","lazard.com","338","0","$2.20",-,2023-02-24,"0"
"Children's Hospital Colorado","United States","childrenscolorado.org","334","0","$2.18",-,2023-02-17,"0"
"Voya Financial, Inc.","United States","voya.com","323","0","$2.10",-,2023-03-04,"0"
"Veeva Systems, Inc.","United States","veeva.com","314","0","$2.05",-,2023-03-04,"0"
"Freddie Mac","United States","freddiemac.com","306","0","$1.99",-,2023-02-28,"0"
"Royal Dutch Shell Group","United States","shell.com","286","0","$1.86",Increased,2023-03-04,"0"
"Gray Television, Inc.","United States","gray.tv","272","0","$1.77",-,2023-03-04,"0"
"Canadian Imperial Bank of Commerce (CIBC)","Canada","cibc.com","260","0","$1.69",-,2023-03-04,"0"
"Florida Department Of Children & Families","United States","myflfamilies.com","234","0","$1.52",Increased,2023-02-22,"0"
"Arch Capital Group Ltd.","United States","archcapgroup.com","217","1","$1.41",-,2023-03-04,"0"
"The Williams Companies, Inc.","United States","williams.com","211","0","$1.37",-,2023-03-04,"0"
"Scotts Miracle-Gro Company","United States","scotts.com","209","0","$1.36",-,2023-03-04,"0"
"California Department Of Veterans Affairs","United States","calvet.ca.gov","194","0","$1.26",-,2023-03-04,"0"
"MFS Investment Management","United States","mfs.com","176","0","$1.14",-,2023-03-04,"0"
"Becton, Dickinson and Company","United States","bd.com","176","0","$1.14",-,2023-02-17,"0"
"Kepro","United States","kepro.com","175","0","$1.14",-,2023-03-04,"0"
"Federal Deposit Insurance Corporation","United States","fdic.gov","175","0","$1.14",-,2023-03-04,"0"
"Ports America","United States","portsamerica.com","174","1","$1.13",-,2023-03-04,"0"
"Thoma Bravo","United States","thomabravo.com","163","0","$1.06",-,2023-03-04,"0"
"BNSF Railway","United States","bnsf.com","144","1","$0.94",-,2023-02-24,"0"
"Blue Cross Blue Shield Of Massachusetts","United States","bluecrossma.com","125","0","$0.81",-,2023-02-28,"0"
"OU Health","United States","ouhealth.com","121","0","$0.79",-,2023-03-04,"0"
"Marathon Petroleum Corporation","United States","marathonpetroleum.com","121","0","$0.79",-,2023-03-04,"0"
"Public Broadcasting Services","United States","goodwill.org","109","0","$0.71",-,2023-03-04,"0"
"Crain Communications","United States","crain.com","105","1","$0.68",-,2023-03-04,"0"
"SVB Financial Group ","United States","svb.com","103","0","$0.67",-,2023-02-26,"0"
"Pepperdine University","United States","pepperdine.edu","102","0","$0.66",-,2023-03-04,"0"
"AGCO","Canada","agco.ca","98","0","$0.64",-,2023-03-04,"0"
"Logitech International SA","United States","logitech.com","97","0","$0.63",-,2023-02-19,"0"
"Zurich Insurance Group","United States","zurichna.com","93","0","$0.60",-,2023-02-27,"0"
"Coverys","United States","coverys.com","90","0","$0.58",-,2023-03-04,"0"
"Brookfield Asset Management","United States","brookfield.com","87","0","$0.56",-,2023-02-24,"0"
"Organon","United States","organon.com","87","0","$0.56",-,2023-03-04,"0"
"Knights of Columbus","United States","kofc.org","75","1","$0.48",Increased,2023-02-22,"0"
"BlueCross BlueShield of Tennessee, Inc. ","United States","bcbst.com","71","0","$0.46",-,2023-02-24,"0"
"A.Y. McDonald Mfg","United States","aymcdonald.com","68","0","$0.44",New,2023-03-04,"0"
"Vizient","United States","vizientinc.com","63","0","$0.41",Increased,2023-02-19,"0"
"ACI Worldwide","United States","aciworldwide.com","62","0","$0.40",-,2023-02-24,"0"
"Harris Health System","United States","harrishealth.org","52","0","$0.33",-,2023-02-19,"0"
"Domino's Pizza, Inc.","United States","dominos.com","49","0","$0.32",Increased,2023-02-19,"0"
"Ingevity","United States","ingevity.com","44","0","$0.28",-,2023-03-04,"0"
"KKR, Inc.","United States","kkr.com","42","0","$0.27",-,2023-03-04,"0"
"Blue Cross Blue Shield of Michigan","United States","bcbsm.com","39","0","$0.25",-,2023-03-04,"0"
"Excellus BlueCross BlueShield","United States","excellusbcbs.com","32","0","$0.20",-,2023-03-04,"0"
"Capital Group","United States","capitalgroup.com","32","0","$0.20",-,2023-03-04,"0"
"International Paper Company","United States","internationalpaper.com","25","0","$0.16",-,2023-02-28,"0"
"HMS","United States","hms.com","22","0","$0.14",-,2023-03-04,"0"
"Advocate Aurora Health","United States","advocateaurorahealth.org","21","0","$0.13",-,2023-02-17,"0"
"Circle K","United States","circlek.com","12","0","$0.07",-,2023-03-04,"0"
"Viatris, Inc. (fmr Mylan N.V.)","United States","viatris.com","9","0","$0.05",Increased,2023-02-18,"0"
"Marsh & McLennan Companies, Inc.","United States","mmc.com","4","0","$0.02",Increased,2023-02-16,"0"
